,75,125,175,225,275,325,375,425,475,525,575
1996,-1582,-993,-691,-329,-130,-9,205,405,733,937,987
1997,-1790,-1430,-1240,-1030,-800,-520,-185,230,354,430,460
1999,-2040,-1430,-890,-510,-400,-430,-330,0,340,710,1150
2000,-817,-661,-505,-365,-194,-38,118,277,430,585,741
2001,-1421,-1206,-991,-776,-560,-345,-130,85,300,516,731
2002,-1779,-1532,-1286,-1039,-793,-546,-300,-53,194,440,687
2003,-1890,-1672,-1453,-1235,-1017,-798,-580,-361,-143,76,294
2004,-2024,-1817,-1610,-1403,-1196,-989,-782,-575,-368,-161,46
2005,-2100,-1831,-1563,-1294,-1025,-757,-488,-220,49,317,586
2006,-1891,-1614,-1337,-1059,-782,-505,-228,49,327,604,881
2007,-1595,-1330,-1065,-799,-534,-269,-3,262,527,793,1058
2008,-1110,-893,-675,-458,-241,-23,194,411,628,846,1063
2009,-1081,-895,-709,-523,-337,-151,35,222,408,594,780
