,2175,2225,2275,2325,2375,2425,2475,2525,2575,2625,2675,2725,2775,2825,2875,2925,2975,3025,3075,3125,3175,3225,3275,3325
1948,-1298.7012987012988,-1066.2337662337663,-792.75,-478.25,-251.5,-112.5,47.5,228.5,397.25,553.75,697.75,829.25,1004.25,1222.75,1417.5,1588.5,1817.0,2103.0,2321.0,2471.0,2618.25,2762.75,2820.0,2790.0
1949,-3077.8387096774195,-2794.6129032258063,-2507.5,-2216.5,-1998.0,-1852.0,-1700.25,-1542.75,-1473.25,-1491.75,-1593.75,-1779.25,-1787.0,-1617.0,-1332.5,-933.5,-342.25,441.25,910.25,1064.75,1195.25,1301.75,1310.625,1221.875
1950,,-3517.75,-3437.75,-3215.25,-2976.75,-2722.25,-2518.0,-2364.0,-2212.0,-2062.0,-2023.25,-2095.75,-2032.5,-1833.5,-1523.75,-1103.25,-507.25,264.25,762.75,988.25,1184.0,1350.0,1363.9375,1225.8125
1951,,-1256.7857142857142,-994.25,-892.75,-716.0,-464.0,-242.75,-52.25,74.25,136.75,163.75,155.25,227.0,379.0,573.5,810.5,1129.25,1529.75,1796.5,1929.5,2053.5,2168.5,2193.8125,2129.4375
1952,,-3561.354609929078,-3292.25,-2954.75,-2706.5,-2547.5,-2291.5,-1938.5,-1595.75,-1263.25,-970.75,-718.25,-425.0,-91.0,192.0,424.0,683.0,969.0,1211.75,1411.25,1580.0,1718.0,1729.1875,1613.5625
1953,,-2809.5774647887324,-2536.0,-2198.0,-1937.75,-1755.25,-1489.25,-1139.75,-805.75,-487.25,-221.75,-9.25,203.0,415.0,621.0,821.0,1070.25,1368.75,1612.0,1800.0,1966.0,2110.0,2135.75,2043.25
1954,,-2236.626865671642,-1791.75,-1451.25,-1097.25,-729.75,-466.5,-307.5,-208.0,-168.0,-163.75,-195.25,-131.25,28.25,249.5,532.5,900.25,1352.75,1659.5,1820.5,1967.5,2100.5,2170.75,2178.25
1955,,-2153.740740740741,-1892.75,-1492.25,-1019.5,-474.5,-102.75,95.75,221.75,275.25,323.25,365.75,514.25,768.75,1031.0,1301.0,1606.5,1947.5,2207.0,2385.0,2548.25,2696.75,2776.625,2787.875
1956,,-2681.3308270676694,-2364.75,-1996.25,-1596.75,-1166.25,-849.25,-645.75,-496.5,-401.5,-343.75,-323.25,-229.0,-61.0,178.25,488.75,884.5,1365.5,1679.25,1825.75,1944.75,2036.25,2062.9375,2024.8125
1957,,-2721.582089552239,-2411.25,-2007.75,-1549.25,-1035.75,-586.75,-202.25,-14.75,-24.25,-10.5,26.5,128.75,296.25,492.75,718.25,978.75,1274.25,1515.5,1702.5,1873.0,2027.0,2095.875,2079.625
1958,,-3744.037037037037,-3478.0,-3080.0,-2637.25,-2149.75,-1680.25,-1228.75,-970.5,-905.5,-880.25,-894.75,-837.75,-709.25,-475.25,-135.75,339.5,950.5,1355.75,1555.25,1719.0,1847.0,1846.3125,1716.9375
1959,,-3327.6239316239316,-2835.75,-2515.25,-2189.0,-1857.0,-1579.0,-1355.0,-1215.0,-1159.0,-1147.25,-1179.75,-1105.75,-925.25,-663.5,-320.5,127.5,680.5,1046.75,1226.25,1373.75,1489.25,1500.525641025641,1407.576923076923
