,1027,1034,1075,1083,1125,1175,1225,1275,1325,1375,1425,1432,1440,1475,1525,1575,1625,1675,1725,1775,1825,1852,1855,1856
1963,,,-6550.0,,-6000.0,-5550.0,-5100.0,-4600.0,-4100.0,-3650.0,-3200.0,,,-2800.0,-2350.0,-2000.0,-1700.0,-1350.0,-1000.0,-800.0,-800.0,,-700.0,
1964,-4760.0,,-4240.0,,-3790.0,-3490.0,-3070.0,-2650.0,-2420.0,-2140.0,-1650.0,,,-1180.0,-750.0,-460.0,-50.0,450.0,850.0,1160.0,1250.0,,1010.0,
1965,-5430.0,,-4820.0,,-4310.0,-3800.0,-3470.0,-2930.0,-2650.0,-2330.0,-1980.0,,,-1470.0,-910.0,-480.0,70.0,490.0,1010.0,1320.0,1340.0,,1260.0,
1966,-7500.0,,-6950.0,,-6300.0,-5720.0,-5050.0,-4470.0,-3970.0,-3350.0,-2830.0,,,-2300.0,-1770.0,-1320.0,-920.0,-550.0,-170.0,110.0,240.0,,-50.0,
1967,-5650.0,,-5150.0,,-4670.0,-4100.0,-3550.0,-2970.0,-2380.0,-1820.0,-1270.0,,,-700.0,-200.0,320.0,840.0,1300.0,1750.0,2030.0,1950.0,,1710.0,
1968,-6150.0,,-5730.0,,-5300.0,-4700.0,-4190.0,-3550.0,-3320.0,-2940.0,-2620.0,,,-1800.0,-850.0,-370.0,-330.0,570.0,1220.0,1350.0,1400.0,,950.0,
1969,-8400.0,,-7860.0,,-7320.0,-6830.0,-6250.0,-5700.0,-5250.0,-4840.0,-4330.0,,,-3820.0,-3270.0,-2900.0,-2520.0,-1920.0,-1440.0,-1110.0,-980.0,,-1140.0,
1970,-6300.0,,-5850.0,,-5370.0,-6140.0,-4350.0,-3860.0,-3370.0,-2850.0,-2330.0,,,-1850.0,-1390.0,-1000.0,-810.0,-530.0,-180.0,0.0,70.0,,-40.0,
1971,-5560.0,,-5160.0,,-4710.0,-4260.0,-3750.0,-3370.0,-2730.0,-2380.0,-1590.0,,,-1230.0,-620.0,-20.0,240.0,760.0,1290.0,1520.0,1410.0,,900.0,
1972,-6100.0,,-5620.0,,-5210.0,-4700.0,-4200.0,-3750.0,-3340.0,-2980.0,-2450.0,,,-1850.0,-1250.0,-650.0,-160.0,480.0,450.0,630.0,480.0,,200.0,
1973,-5500.0,,-5150.0,,-4680.0,-4190.0,-3720.0,-3130.0,-2450.0,-1980.0,-1470.0,,,-880.0,-300.0,110.0,620.0,1020.0,1440.0,1620.0,1420.0,,880.0,
1974,-5850.0,,-5400.0,,-4900.0,-4400.0,-3900.0,-3300.0,-2800.0,-2200.0,-1700.0,,,-1300.0,-900.0,-500.0,-100.0,500.0,950.0,1200.0,1100.0,,950.0,
1975,-6000.0,,-5600.0,,-5050.0,-4550.0,-4050.0,-3600.0,-3100.0,-2550.0,-1950.0,,,-1500.0,-1000.0,-450.0,0.0,300.0,650.0,850.0,800.0,,650.0,
1976,-5850.0,,-5450.0,,-4850.0,-4400.0,-4000.0,-3650.0,-3200.0,-2550.0,-1950.0,,,-1550.0,-1100.0,-400.0,-200.0,250.0,700.0,900.0,800.0,,500.0,
1977,-6200.0,,-5760.0,,-5270.0,-4700.0,-4190.0,-3680.0,-3190.0,-2670.0,-2240.0,,,-1830.0,-1430.0,-1080.0,-870.0,-620.0,-410.0,-270.0,-300.0,,-450.0,
1978,,,,,,,,,,,,-300.0,,,,,,,,,,,,
1979,,,,,,,,,,,,,300.0,,,,,,,,,,,
1980,,,,,,,,,,,,,-1400.0,,,,,,,,,,,
1981,,,,,,,,,,,,,850.0,,,,,,,,,,,
1982,,,,,,,,,,,,,-700.0,,,,,,,,,,,
1983,,,,,,,,,,,,,1700.0,,,,,,,,,,,
1984,,,,,,,,,,,,,-100.0,,,,,,,,,,,
1985,,-5200.0,-4990.0,,-4730.0,-4330.0,-4040.0,-3610.0,-3280.0,-2900.0,-2480.0,,,-2070.0,-1650.0,-1370.0,-960.0,-320.0,70.0,310.0,390.0,,,270.0
1986,,-5700.0,-5340.0,,-5050.0,-4560.0,-4040.0,-3610.0,-3090.0,-2700.0,-2230.0,,,-1790.0,-1350.0,-890.0,-450.0,90.0,500.0,600.0,440.0,,,100.0
1987,,-3500.0,-3290.0,,-2890.0,-2580.0,-2290.0,-1900.0,-1440.0,-1070.0,-770.0,,,-260.0,-50.0,240.0,600.0,1030.0,1220.0,1600.0,1410.0,,,900.0
1988,,-7700.0,-7250.0,,-6730.0,-6710.0,-5750.0,-5230.0,-4740.0,-4290.0,-3730.0,,,-3190.0,-2550.0,-2290.0,-1700.0,-1400.0,-950.0,-750.0,-850.0,,,-1220.0
1989,,-3000.0,-2680.0,,-2250.0,-1850.0,-1530.0,-1100.0,-750.0,-350.0,100.0,,,500.0,1150.0,1400.0,1930.0,2300.0,2550.0,2700.0,2650.0,,,2150.0
1990,,-3600.0,-3300.0,,-2900.0,-2450.0,-2000.0,-1550.0,-1100.0,-650.0,-250.0,,,200.0,600.0,1100.0,1600.0,2050.0,2400.0,2700.0,2550.0,,,1950.0
1991,,-6600.0,-6100.0,,-5600.0,-5050.0,-4550.0,-4050.0,-3550.0,-3000.0,-2500.0,,,-1900.0,-1300.0,-800.0,-300.0,100.0,450.0,600.0,500.0,,,100.0
1992,,-4850.0,-4500.0,,-4000.0,-3550.0,-3000.0,-2500.0,-2050.0,-1600.0,-1050.0,,,-550.0,0.0,600.0,1250.0,1950.0,2450.0,2750.0,2650.0,,,1950.0
1993,,-2850.0,-2550.0,,-2250.0,-1950.0,-1600.0,-1300.0,-900.0,-550.0,-200.0,,,200.0,700.0,1200.0,1750.0,2150.0,2450.0,2600.0,2280.0,,,1750.0
1994,,-6250.0,-5900.0,,-5250.0,-4730.0,-4200.0,-3550.0,-2900.0,-2380.0,-1750.0,,,-1200.0,-630.0,-330.0,170.0,420.0,670.0,820.0,670.0,,,300.0
1995,,-6500.0,-6050.0,,-5400.0,-4700.0,-4050.0,-3450.0,-2750.0,-2200.0,-1650.0,,,-1050.0,-500.0,0.0,250.0,550.0,750.0,850.0,1000.0,,,800.0
1996,,-6930.0,-6670.0,,-6340.0,-6020.0,-5670.0,-5350.0,-4920.0,-4430.0,-3890.0,,,-3440.0,-3000.0,-2470.0,-1980.0,-1550.0,-1160.0,-800.0,-570.0,,,-800.0
1997,,-7850.0,-7400.0,,-6900.0,-6400.0,-5900.0,-5400.0,-4900.0,-4300.0,-3800.0,,,-3100.0,-2400.0,-1700.0,-1100.0,-650.0,-250.0,-120.0,-200.0,,,-1000.0
1998,,-5400.0,-5150.0,,-4950.0,-4700.0,-4400.0,-3990.0,-3550.0,-2800.0,-2200.0,,,-1600.0,-1000.0,-550.0,-100.0,350.0,600.0,940.0,1200.0,,,1130.0
1999,,-4200.0,-3900.0,,-3550.0,-3250.0,-3000.0,-2750.0,-2700.0,-2650.0,-2450.0,,,-2200.0,-1870.0,-1500.0,-980.0,-510.0,-210.0,390.0,260.0,,,-10.0
2000,,-6050.0,-5550.0,,-4920.0,-4290.0,-3650.0,-3050.0,-2400.0,-1700.0,-1050.0,,,-450.0,0.0,350.0,750.0,1150.0,1450.0,1480.0,1190.0,,,270.0
2001,,-7550.0,-7150.0,,-6650.0,-6150.0,-5600.0,-5050.0,-4500.0,-4050.0,-3580.0,,,-3100.0,-2600.0,-2100.0,-1570.0,-1260.0,-680.0,-350.0,-200.0,,,-300.0
2002,,-7550.0,-7050.0,,-6450.0,-5800.0,-5350.0,-4950.0,-4700.0,-4350.0,-4000.0,,,-3650.0,-3250.0,-2410.0,-1650.0,-1100.0,-750.0,-250.0,-200.0,,,-1100.0
2003,,,,-7950.0,-7250.0,-6700.0,-6150.0,-5650.0,-5100.0,-4550.0,-4150.0,,,-3650.0,-3150.0,-2650.0,-2050.0,-1650.0,-1450.0,-1000.0,-1050.0,-1350.0,,
2004,,,,-6750.0,-5950.0,-5400.0,-4900.0,-4400.0,-3900.0,-3400.0,-2850.0,,,-2400.0,-1950.0,-1350.0,-900.0,-400.0,200.0,450.0,500.0,0.0,,
2005,,,,-6450.0,-5750.0,-5150.0,-4550.0,-3950.0,-3300.0,-2750.0,-2200.0,,,-1700.0,-1150.0,-600.0,-150.0,550.0,850.0,1100.0,1000.0,600.0,,
2006,,,,-8650.0,-7990.0,-7470.0,-7050.0,-6630.0,-6270.0,-5920.0,-5570.0,,,-5130.0,-4750.0,-4120.0,-3240.0,-2610.0,-2080.0,-1800.0,-1770.0,-1950.0,,
2007,,,,-5400.0,-4700.0,-4150.0,-3600.0,-3100.0,-2680.0,-2260.0,-1840.0,,,-1420.0,-1000.0,-400.0,150.0,850.0,1300.0,1550.0,1500.0,800.0,,
2008,,,,-7150.0,-6450.0,-5950.0,-5450.0,-4950.0,-4400.0,-3350.0,-3200.0,,,-2650.0,-2000.0,-1050.0,-150.0,450.0,700.0,900.0,800.0,200.0,,
2009,,,,-7050.0,-6250.0,-5650.0,-5050.0,-4450.0,-3900.0,-3350.0,-2900.0,,,-2450.0,-1950.0,-1350.0,-750.0,-250.0,250.0,650.0,500.0,350.0,,
2010,,,,-6500.0,-6000.0,-5600.0,-5250.0,-4900.0,-4600.0,-4300.0,-4000.0,,,-3700.0,-3400.0,-3000.0,-2600.0,-1490.0,-1550.0,-1200.0,-1200.0,-1200.0,,
2011,,,,-6400.0,-5750.0,-5100.0,-4600.0,-4250.0,-4100.0,-3900.0,-3700.0,,,-3400.0,-3100.0,-2600.0,-2000.0,-1150.0,-850.0,-550.0,-500.0,-650.0,,
2012,,,,-4090.0,-3800.0,-3450.0,-3110.0,-2760.0,-2430.0,-2080.0,-1740.0,,,-1400.0,-940.0,-170.0,440.0,1050.0,1380.0,1700.0,1670.0,1650.0,,
2013,,,,-7100.0,-6750.0,-6300.0,-5850.0,-5450.0,-5050.0,-4650.0,-4150.0,,,-3600.0,-2800.0,-2200.0,-1600.0,-1000.0,-750.0,-450.0,-350.0,-450.0,,
2014,,,,-8000.0,-7600.0,-7100.0,-6600.0,-6100.0,-5600.0,-5100.0,-4600.0,,,-4100.0,-3650.0,-2900.0,-2050.0,-1100.0,-646.0,-296.0,-249.0,-350.0,,
2015,,,,-4400.0,-4050.0,-3500.0,-3000.0,-2500.0,-2000.0,-1500.0,-1100.0,,,-750.0,-350.0,50.0,600.0,1300.0,1650.0,2050.0,1800.0,1500.0,,
2016,,,,-7400.0,-6800.0,-6200.0,-5600.0,-5000.0,-4400.0,-3780.0,-3120.0,,,-2460.0,-1800.0,-1300.0,-700.0,-100.0,150.0,400.0,450.0,450.0,,
2017,,,,-4850.0,-4500.0,-4150.0,-3730.0,-3450.0,-3100.0,-2800.0,-2300.0,,,-1700.0,-900.0,-400.0,140.0,840.0,1220.0,1490.0,1260.0,1000.0,,
2018,,,,-7750.0,-7360.0,-6850.0,-6350.0,-5830.0,-5320.0,-4910.0,-4500.0,,,-4000.0,-3500.0,-2500.0,-1600.0,-900.0,-650.0,-400.0,-500.0,-850.0,,
2019,,,,-6650.0,-6300.0,-5850.0,-5430.0,-5000.0,-4650.0,-4350.0,-4050.0,,,-3750.0,-3450.0,-2450.0,-1100.0,-500.0,-150.0,100.0,150.0,100.0,,
