,4725,4775,4825
2006,-2937.6153846153848,-2101.3333333333335,
2007,-1806.2307692307693,-1388.6666666666667,-555.3846153846154
2008,-829.6923076923077,-524.7777777777778,-133.9230769230769
2009,-4052.923076923077,-3116.5555555555557,-2203.923076923077
2010,-3777.769230769231,-3177.5555555555557,-2905.076923076923
2011,-1458.3846153846155,-836.3333333333334,-263.7692307692307
2012,-3505.6153846153848,-2627.1111111111113,-1794.0
2013,-4433.7692307692305,-3824.6666666666665,-2706.3076923076924
2014,-5145.846153846154,-4124.777777777777,-3191.7692307692305
2015,-6679.461538461538,-5648.777777777777,-4636.2307692307695
2016,-6289.333333333333,-5489.6,-4437.6
2017,-4945.739130434783,-3693.714285714286,-2522.285714285714
2018,-3783.913043478261,-3205.3142857142857,-1981.8857142857144
2019,-5250.428571428572,-4536.761904761905,-3761.1666666666665
