YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1994,3069,EYJABAKKAJOEKULL,460.0,RGI50-06.00472
1995,3069,EYJABAKKAJOEKULL,-420.0,RGI50-06.00472
1996,3069,EYJABAKKAJOEKULL,-850.0,RGI50-06.00472
1998,3069,EYJABAKKAJOEKULL,-1390.0,RGI50-06.00472
1999,3069,EYJABAKKAJOEKULL,-1120.0,RGI50-06.00472
2000,3069,EYJABAKKAJOEKULL,-2020.0,RGI50-06.00472
2001,3069,EYJABAKKAJOEKULL,286.0,RGI50-06.00472
2002,3069,EYJABAKKAJOEKULL,-1093.0,RGI50-06.00472
2003,3069,EYJABAKKAJOEKULL,-1094.0,RGI50-06.00472
2004,3069,EYJABAKKAJOEKULL,-1310.0,RGI50-06.00472
2005,3069,EYJABAKKAJOEKULL,-2202.0,RGI50-06.00472
2006,3069,EYJABAKKAJOEKULL,-1425.0,RGI50-06.00472
2007,3069,EYJABAKKAJOEKULL,-636.0,RGI50-06.00472
2008,3069,EYJABAKKAJOEKULL,-1282.0,RGI50-06.00472
2009,3069,EYJABAKKAJOEKULL,-507.0,RGI50-06.00472
2010,3069,EYJABAKKAJOEKULL,-1750.0,RGI50-06.00472
2011,3069,EYJABAKKAJOEKULL,525.0,RGI50-06.00472
2012,3069,EYJABAKKAJOEKULL,-954.0,RGI50-06.00472
2013,3069,EYJABAKKAJOEKULL,-500.0,RGI50-06.00472
