YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1948,420,CH,PLATTALVA,0.75,1885.0,,110.0,,RGI50-11.00892
1949,420,CH,PLATTALVA,0.75,925.0,,-927.0,,RGI50-11.00892
1950,420,CH,PLATTALVA,0.75,1463.0,,-1631.0,,RGI50-11.00892
1951,420,CH,PLATTALVA,0.74,1940.0,,226.0,,RGI50-11.00892
1952,420,CH,PLATTALVA,0.74,1610.0,,-1682.0,,RGI50-11.00892
1953,420,CH,PLATTALVA,0.74,1783.0,,-74.0,,RGI50-11.00892
1954,420,CH,PLATTALVA,0.74,1152.0,,-3.0,,RGI50-11.00892
1955,420,CH,PLATTALVA,0.74,1932.0,,339.0,,RGI50-11.00892
1956,420,CH,PLATTALVA,0.73,1250.0,,-228.0,,RGI50-11.00892
1957,420,CH,PLATTALVA,0.73,1229.0,,151.0,,RGI50-11.00892
1958,420,CH,PLATTALVA,0.73,1705.0,,-675.0,,RGI50-11.00892
1959,420,CH,PLATTALVA,0.72,1375.0,,-887.0,,RGI50-11.00892
1960,420,CH,PLATTALVA,0.84,1494.0,,114.0,,RGI50-11.00892
1961,420,CH,PLATTALVA,0.84,1646.0,,285.0,,RGI50-11.00892
1962,420,CH,PLATTALVA,0.84,1725.0,,-139.0,,RGI50-11.00892
1963,420,CH,PLATTALVA,0.84,1484.0,,-337.0,,RGI50-11.00892
1964,420,CH,PLATTALVA,0.84,1025.0,,-1253.0,,RGI50-11.00892
1965,420,CH,PLATTALVA,0.84,1400.0,,646.0,,RGI50-11.00892
1966,420,CH,PLATTALVA,0.84,2260.0,,631.0,,RGI50-11.00892
1967,420,CH,PLATTALVA,0.84,1850.0,,255.0,,RGI50-11.00892
1968,420,CH,PLATTALVA,0.84,1553.0,,667.0,,RGI50-11.00892
1969,420,CH,PLATTALVA,0.84,1356.0,,539.0,,RGI50-11.00892
1970,420,CH,PLATTALVA,0.84,1874.0,,64.0,,RGI50-11.00892
1971,420,CH,PLATTALVA,0.84,1187.0,,-1104.0,,RGI50-11.00892
1972,420,CH,PLATTALVA,0.84,918.0,,-165.0,,RGI50-11.00892
1973,420,CH,PLATTALVA,0.84,1300.0,,-626.0,,RGI50-11.00892
1974,420,CH,PLATTALVA,0.84,1564.0,,279.0,,RGI50-11.00892
1975,420,CH,PLATTALVA,0.84,2044.0,,567.0,,RGI50-11.00892
1976,420,CH,PLATTALVA,0.84,883.0,,-775.0,,RGI50-11.00892
1977,420,CH,PLATTALVA,0.86,1598.0,,534.0,,RGI50-11.00892
1978,420,CH,PLATTALVA,0.8,1627.0,,775.0,,RGI50-11.00892
1979,420,CH,PLATTALVA,0.8,1202.0,,-45.0,,RGI50-11.00892
1980,420,CH,PLATTALVA,0.8,1748.0,,620.0,,RGI50-11.00892
1981,420,CH,PLATTALVA,0.8,1611.0,,-214.0,,RGI50-11.00892
1982,420,CH,PLATTALVA,0.79,1945.0,,-218.0,,RGI50-11.00892
1983,420,CH,PLATTALVA,0.79,1471.0,,-552.0,,RGI50-11.00892
1984,420,CH,PLATTALVA,0.79,1514.0,,-83.0,,RGI50-11.00892
1985,420,CH,PLATTALVA,0.79,1615.0,,504.0,,RGI50-11.00892
1986,420,CH,PLATTALVA,0.86,,,-750.0,Data from Dyurgerov M. (2002).,RGI50-11.00892
1987,420,CH,PLATTALVA,0.86,,,260.0,Data from Dyurgerov M. (2002).,RGI50-11.00892
1988,420,CH,PLATTALVA,0.73,,,-310.0,Data from Dyurgerov M. (2002).,RGI50-11.00892
1989,420,CH,PLATTALVA,0.73,,,-780.0,Data from Dyurgerov M. (2002).,RGI50-11.00892
