,lon,lat,n_mb_years,tstar,bias
RGI60-01.00570,-145.427,63.281,51,1922,516.0528576019344
RGI60-01.01104,-134.349,58.38,64,1962,233.15773192713482
RGI60-01.02228,-143.847625732,69.302070618,13,1960,-0.05281397492211681
RGI60-01.04591,-131.062,56.955,9,1941,0.7409594233798202
RGI60-01.05211,-130.684,56.975,9,1962,99.24112491286928
RGI60-01.05355,-130.83,57.091,8,1962,337.4622257609433
RGI60-01.09162,-148.908,60.412,51,1928,4.200469136295169
RGI60-02.00296,-122.979,49.8876,24,1947,10.901227912029753
RGI60-02.00377,-122.989,49.9609,39,1918,741.3203183737028
RGI60-02.01104,-122.605,50.4195,51,1919,616.4663511209603
RGI60-02.02107,-123.414,50.7918,10,1963,22.16035373551813
RGI60-02.02631,-123.621,50.872,10,1965,12.400052393222268
RGI60-02.02636,-123.639,50.8216,5,1961,528.753600528973
RGI60-02.03210,-118.061,51.1141,10,1922,332.9191647222224
RGI60-02.04379,-125.136,51.3432,7,1962,937.3047148759122
RGI60-02.04503,-124.911,51.4455,8,1963,410.946681371619
RGI60-02.05098,-116.56,51.6585,49,1961,302.44003486825613
RGI60-02.05690,-116.486,51.819,10,1961,352.3997936428282
RGI60-02.14017,-123.6957,47.80982,46,1975,6.036225844549421
RGI60-02.14297,-121.71401,46.86478,11,1964,-5.510173480418985
RGI60-02.14336,-121.74768,46.82481,11,1969,-9.614212767741833
RGI60-02.17023,-113.75707,48.62495,11,1961,362.8372336519836
RGI60-02.17307,-121.6233,48.82573,33,1961,29.014944723915846
RGI60-02.17369,-121.51089,48.67217,23,1972,-0.18079916754402348
RGI60-02.17612,-121.2419,48.97609,23,1998,-1.336304391882976
RGI60-02.17733,-121.77805,48.79868,33,1973,-0.5188079581420197
RGI60-02.17739,-121.82996,48.74956,27,1945,4.698605452197285
RGI60-02.17789,-121.03186,48.41349,10,1994,-1.9721700963077637
RGI60-02.17806,-121.03017,48.44805,33,1961,80.81181587556364
RGI60-02.17862,-120.79699,48.41053,22,1926,3.398095694483459
RGI60-02.18005,-120.89636,48.17176,14,1961,137.38605249728715
